SaleID,CustomerID,ProductID,SaleDate,Quantity,SalesRep
1,18,16,2023-12-18,1,Brian Smith
2,34,94,2023-07-10,10,Brian Smith
3,197,96,2022-01-16,5,Jill Bonilla
4,317,22,2023-01-22,8,Christopher Johnson
5,202,51,2022-02-01,3,Elizabeth Kim
6,211,1,2023-12-06,2,Ashley Williams
7,377,39,2024-02-12,4,Rodney Johnson
8,50,61,2022-06-08,4,Daniel Gonzalez
9,87,29,2025-06-06,1,Parker Hayes
10,392,25,2024-11-19,10,Joseph Miller
11,419,36,2024-10-19,6,David Russell
12,499,89,2022-01-16,4,Christopher Johnson
13,185,64,2023-01-26,3,Angela Smith
14,277,2,2025-08-25,2,Jerry Lucero
15,193,44,2022-07-11,6,Misty Torres
16,210,45,2024-02-21,7,Angela Smith
17,163,31,2024-05-25,6,David Foley
18,248,77,2024-06-09,5,Kirk Alvarez
19,327,56,2021-11-19,6,Christine Rios
20,346,15,2025-04-04,3,Debra Ruiz
21,491,15,2022-10-26,9,Joyce Harris
22,380,52,2021-12-01,6,George Hamilton MD
23,473,62,2025-07-29,7,Erika Stanley
24,292,69,2023-06-15,8,David Evans
25,153,44,2021-12-23,7,Kirk Alvarez
26,187,48,2024-07-08,6,Kirk Alvarez
27,2,93,2024-01-27,10,David Evans
28,220,28,2023-03-08,6,Misty Torres
29,218,81,2024-04-20,7,Parker Hayes
30,62,25,2023-08-06,6,Ashley Williams
31,359,82,2022-02-16,5,Christopher Johnson
32,47,4,2024-11-16,8,Larry Medina
33,460,91,2023-06-23,5,Joyce Harris
34,28,86,2025-01-13,10,Cindy Clark
35,428,12,2022-08-22,4,Cindy Clark
36,329,69,2025-07-01,10,Christopher Johnson
37,211,49,2022-09-12,3,Angela Smith
38,373,76,2023-03-13,6,Elizabeth Kim
39,226,99,2022-10-08,6,Kirk Alvarez
40,184,4,2024-07-27,6,Elizabeth Kim
41,344,99,2024-06-29,8,Tony Diaz
42,442,15,2023-09-10,1,Rodney Johnson
43,452,64,2025-06-06,8,Larry Medina
44,51,24,2022-10-31,4,Joseph Miller
45,54,66,2021-10-02,3,Rodney Johnson
46,44,45,2023-09-09,6,Tiffany Page
47,132,68,2024-06-27,8,Joseph Miller
48,363,22,2022-03-30,3,Daniel Gonzalez
49,99,13,2022-02-28,7,Jerry Lucero
50,471,60,2025-04-14,2,Joyce Harris
51,470,36,2023-02-16,1,David Evans
52,157,21,2022-01-08,6,Joyce Harris
53,342,42,2023-03-06,5,Jill Bonilla
54,247,34,2023-01-05,6,Ashley Williams
55,486,58,2021-11-05,8,Cindy Clark
56,372,84,2023-05-23,7,Lisa Gonzalez
57,59,26,2024-10-12,5,Tiffany Page
58,13,13,2022-05-04,4,Benjamin Figueroa
59,34,91,2021-12-09,3,Misty Torres
60,447,22,2025-05-15,8,Kirk Alvarez
61,85,84,2024-12-26,4,Larry Medina
62,148,40,2023-08-26,7,Tony Diaz
63,258,5,2023-03-22,10,Christine Rios
64,329,74,2025-02-28,6,Cindy Clark
65,399,53,2023-02-09,9,Nicole Winters
66,466,18,2023-03-16,8,Joyce Harris
67,156,41,2023-06-03,7,Larry Medina
68,213,63,2023-11-06,3,Tiffany Page
69,269,3,2023-09-22,10,Erika Stanley
70,457,76,2022-04-22,9,Lisa Gonzalez
